,name,hx,route_zx_dis,fzxxs_base
153,854路(东长治路公平路枢纽站--市光新村(包头路)),19.17440032867241,9.701181431229307,1.9765015698961814
154,854路(市光新村(包头路)--东长治路公平路枢纽站),18.461742989760946,9.729716045182013,1.8974595871071573
155,868路(中山东二路新开河路枢纽--白城路民星路),17.550349044128836,12.034231187840751,1.4583689452352808
156,868路(白城路民星路--中山东二路新开河路枢纽),18.090252441568655,12.031907767989013,1.5035231976842374
157,870路(新江湾城(世界路)--陆家嘴西路滨江大道),20.258035725836958,12.159442595621474,1.6660332549398051
158,870路(陆家嘴西路滨江大道--新江湾城(世界路)),19.47148906772211,12.167065367735688,1.6003439185389852
159,871路(西营路成山路--锦西路打虎山路),20.232217561698782,13.740571329911187,1.4724436907260356
160,871路(锦西路打虎山路--西营路成山路),20.468959729697872,13.707314943953588,1.4932873296769842
161,874路(三门路安汾路--枣庄路张杨路),24.87596866076658,12.884854405977734,1.9306363795019486
162,874路(枣庄路张杨路--三门路安汾路),26.765180542876507,12.866186754912098,2.0802729707508716
163,8路(三门路市光路--博山东路枣庄路),13.751741188335352,9.715822443330152,1.4153965110566455
164,8路(博山东路枣庄路--三门路市光路),14.089201847412149,9.721558550872214,1.4492739794431493
165,90路(淞宝路淞青路--靖宇南路控江路),22.016695274963155,14.721201239129874,1.4955773593014543
166,90路(靖宇南路控江路--淞宝路淞青路),20.267619234391052,14.747343742322117,1.3743233756887878
167,934路(国顺东路翔殷支路--普安路延安东路),18.25346421332042,12.460209550955202,1.4649403879344152
168,934路(普安路延安东路--国顺东路翔殷支路),17.774303352414194,12.416737325929281,1.4314793722258232
169,937路(三门路淞沪路--绥德路),28.32541417503322,16.84021085828904,1.6820106596878486
170,937路(绥德路--三门路淞沪路),27.9105378610298,16.86161582553312,1.655270654356006
171,942路(上海火车站(北广场)--殷行路中原路),18.562063332605724,13.153335051798955,1.4112058469967304
172,942路(殷行路中原路--上海火车站(北广场)),19.687170795342514,13.15210848838607,1.4968832421605411
173,960路(怀德路杨树浦路--青石路国权北路),14.14929373637607,9.03312764294493,1.5663781467127809
174,960路(青石路国权北路--怀德路杨树浦路),15.171721075258365,9.064389622028452,1.6737719480181832
175,962路(上海火车站(北广场)--松潘路杨树浦路),15.346148463626868,9.351583871741976,1.6410213151163502
176,962路(松潘路杨树浦路--上海火车站(北广场)),15.701648580031287,9.377303703908556,1.6744310599097565
177,966路(万航渡路长寿路--市光新村),23.754333115927462,17.380491628439316,1.3667238892747298
178,966路(市光新村--万航渡路长寿路),22.648723824288297,17.491270953114974,1.2948586689325081
179,975路(上海科技馆--广灵四路广粤路),17.83597020499285,12.638070230152053,1.4112890560173965
180,975路(广灵四路广粤路--上海科技馆),18.339983627098697,12.638980942748551,1.451065058977007
181,99路(三门路新江湾城--通南路新二路),12.402969662023848,5.662370126669139,2.190420157030574
182,99路(通南路新二路--三门路新江湾城),12.410785494659082,5.690133587888833,2.181106173161703
183,DZ105线(长白路图们路--辽源西路大连路),6.6566875972336454,5.06517172841714,1.3142076822168973
184,DZ106线(嫩江路白城路--国权北路殷高路),5.940468458652895,5.2147811298703415,1.139159690638943
185,DZ107线(长阳路江浦路--杨树浦路江浦路),1.9681414353519957,1.702357828354977,1.156126757001406
