,name,hx
186,DZ108线(军工路松花江路--军工路松花江路),1.2703042811911633
103,55路大站车(晚高峰)(南浦大桥--新江湾城(世界路)),1.3843118140500081
27,1255路环线(淞沪路殷行路--淞沪路殷行路),1.6995287276839273
191,共青森林公园定制班线(中原路8号线(市光路)--中原路8号线(市光路)),1.757797526032867
102,55路大站车(早高峰)(新江湾城(世界路)--南浦大桥),1.763532905100253
190,DZ128路专线(科技园--五角场翔殷路),1.9625299463765864
185,DZ107线(长阳路江浦路--杨树浦路江浦路),1.9681414353519957
184,DZ106线(嫩江路白城路--国权北路殷高路),1.9801561528842984
187,DZ116路(柏悦江湾--淞沪路殷行路),1.9898557344231589
104,55路大站车(晚高峰)(新江湾城(世界路)--南浦大桥),2.0865100725717114
101,55路大站车(早高峰)(南浦大桥--新江湾城(世界路)),2.427703336367247
189,DZ128路专线(五角场翔殷路--科技园),2.474951685372887
193,北安跨线(曹安公路绿苑路--国康路四平路),7.624986510399485
192,北安跨线(国康路四平路--曹安公路绿苑路),7.910276332752576
194,嘉五线(南门公交站--国康路四平路),9.62218170186372
195,嘉五线(国康路四平路--南门公交站),10.1890950920662
203,机场四线(上海火车站(北广场)--浦东国际机场2号航站楼),12.917215044253108
204,机场四线(浦东机场T1航站楼--上海火车站(北广场)),13.55194944353946
196,崇明E乘巴士1号线(北区汽车站--南门水陆换乘中心),14.647144114851981
197,崇明E乘巴士1号线(崇明南门水陆换乘中心--北区汽车站),14.789741476240959
